,Tweets,CleanTweets,Polarity,Subjectivity,Segmentation
0,"@Drizzy__vibez @honest_ghanaian @CRonaldoV2 @TrollFootball Let ronaldo collect his 7 ballon Dors, that is a nice challenge that he will never complete","__vibez _ghanaian Let ronaldo collect 7 ballon Dors, nice challenge never complete",0.27499999999999997,0.7,positive
1,@ronaldo_mb_dhf Pawankalyan family ki two wheeler saripodhu..,_mb_dhf Pawankalyan family ki two wheeler saripodhu..,0.0,0.0,neutral
2,"🇧🇷🇧🇷

#psv #romario #ronaldonazario @RomarioOnze @Ronaldo https://t.co/luQaJrsfmY",🇧🇷🇧🇷 ://t.co/luQaJrsfmY,0.0,0.0,neutral
3,@trustyfuttrader Mbappe 91?😂😂 How is Ronaldo rated lower than Messi when he had a better season,Mbappe 91?😂😂 How Ronaldo rated lower Messi better season,0.5,0.5,positive
4,@mufcMPB Glazers wont do it pal.bcs if ronaldo goes lot of attention will go with him..our club will be in least discussions thats not what glazers wanted..Nobody a gonna buy oshimen jersey globally..They want shirt sales,Glazers wont pal.bcs ronaldo goes lot attention go him..our club least discussions thats glazers wanted..Nobody gonna buy oshimen jersey globally..They want shirt sales,-0.3,0.4,negative
5,@Roar__45 @ReddyPata @uday462 @ronaldo_mb_dhf 4/20 fulls 🤣🤣 https://t.co/IUQKPqazr7,__45 _mb_dhf 4/20 fulls 🤣🤣 https://t.co/IUQKPqazr7,0.0,0.0,neutral
6,"@talkSPORT @pennant83 It’s so weird how big the reaction is to Richarlison showboating, it’s not like he’s the first one to do it? Remember Nani and Ronaldo doing it against Arsenal? And are people forgetting that Ronaldinho exists?😂😂 what even is the issue!? Get a grip","It’s weird big reaction Richarlison showboating, it’s like he’s first one it? Remember Nani Ronaldo Arsenal? And people forgetting Ronaldinho exists?😂😂 even issue!? Get grip",-0.0625,0.4777777777777778,negative
7,This Cristiano Ronaldo transfer saga is just sad - painful to see,This Cristiano Ronaldo transfer saga sad - painful see,-0.6,0.95,negative
8,"🚨🚨🚨 Bomba 🚨🚨🚨
Cristiano Ronaldo jugará esta temporada en el Real Madrid. Se hará oficial mañana.
Recuerden, aquí lo leyeron primero.","🚨🚨🚨 Bomba 🚨🚨🚨 Cristiano Ronaldo jugará esta temporada en el Real Madrid. Se hará oficial mañana. Recuerden, aquí lo leyeron primero.",0.2,0.30000000000000004,positive
9,@ALMRISEUL @musalli9 @Cristiano الجماهير تبي بطولة ماتبي كلام فاضي وبطولات شخصية خذنا منهم لاعب كسبنا قضية كلة كلام فاضي ماينفع مجرد تغطية علي فشل كبير بالموسم الماضي وراح يتكرار الموسم الحالي والعذر جاهز فار وتحكيم وكلة كلام فاضي,الجماهير تبي بطولة ماتبي كلام فاضي وبطولات شخصية خذنا منهم لاعب كسبنا قضية كلة كلام فاضي ماينفع مجرد تغطية علي فشل كبير بالموسم الماضي وراح يتكرار الموسم الحالي والعذر جاهز فار وتحكيم وكلة كلام فاضي,0.0,0.0,neutral
