,Tweets,CleanTweets,Polarity,Subjectivity,Segmentation
0,"THROWBACK:

When Cristiano Ronaldo ended Ashley Cole’s career. 

Literally split him up. ",THROWBACK: When Cristiano Ronaldo ended Ashley Cole’s career. Literally split up.,0.0,0.0,neutral
1,If Marseille reject Ronaldo unless your man text Gareth Bale make he teach him  how to play golf so say he go channel his energy go there.,If Marseille reject Ronaldo unless man text Gareth Bale make teach play golf say go channel energy go there.,0.0,0.0,neutral
2,"Uefa wants to make barca's life miserable by putting them in Group C against bayern and inter.Lukaku's Inter will surely join Ronaldo's Man United in 
Europa.
Real Madrid in the final again to win de Ucl Cup Done,Group F de3 easy qualification to the final.
#ChampionsLeaguedraw","Uefa wants make barca's life miserable putting Group C bayern inter.Lukaku's Inter surely join Ronaldo's Man United Europa. Real Madrid final win de Ucl Cup Done,Group F de3 easy qualification final.",0.14166666666666666,0.6902777777777778,positive
3,"""THE ONLY WAY YOU DON'T PICK RONALDO IS IF HE'S BEING SOLD NEXT WEEK!""
@markgoldbridge
 thinks that Ronaldo needs to return to the #mufc starting XI at the weekend

Do you agree? 

 https://youtube.com/watch?v=EOvHPc70b-A…","""THE ONLY WAY YOU DON'T PICK RONALDO IS IF HE'S BEING SOLD NEXT WEEK!"" thinks Ronaldo needs return ? https://youtube.com/watch?v=EOvHPc70b-A…",0.0,0.5,neutral
4," Michael Ballack on Virgil van Dijk: 

“Virgil Van Dijk is very lucky to play in an era where there is no Drogba, Lampard, Alan Shearer, Henry, Rooney, Van Persie, Tevez, Adebayor and Diego Costa in the Premier League. No wonder they think he is the best defender in the League”","Michael Ballack Virgil van Dijk: “Virgil Van Dijk lucky play era Drogba, Lampard, Alan Shearer, Henry, Rooney, Van Persie, Tevez, Adebayor Diego Costa Premier League. No wonder think best defender League”",0.6666666666666666,0.5666666666666667,positive
5,"Congratulations BR football. Excellent professionalism  you can’t tell me that there isn’t an agenda against Ronaldo. Media and pundits have always been against Ronaldo since the very beginning. Unreal hatred and mockery. 

Good troll but unexpected from a professional page.",Congratulations BR football. Excellent professionalism can’t tell isn’t agenda Ronaldo. Media pundits always Ronaldo since beginning. Unreal hatred mockery. Good troll unexpected professional page.,0.47500000000000003,0.675,positive
6,Ronaldo's Sister at it again.,Ronaldo's Sister again.,0.0,0.0,neutral
7,"Cristiano Ronaldo is urged to join Marseille by Djibril Cisse, with French giants already 'carrying out a study to judge the finances of signing him'","Cristiano Ronaldo urged join Marseille Djibril Cisse, French giants already 'carrying study judge finances signing him'",0.0,0.0,neutral
8,"If Luuk De Jong manages to take PSV to the champions league tonight, it will be greater than anything Cristiano Ronaldo has ever done for Manchester United since his return.","If Luuk De Jong manages take PSV champions league tonight, greater anything Cristiano Ronaldo ever done Manchester United since return.",0.5,0.5,positive
9,Imagine Cristiano Ronaldo joining Sporting Lisbon only to place 3rd in their group and get eliminated from Europa league by Manchester United ,Imagine Cristiano Ronaldo joining Sporting Lisbon place 3rd group get eliminated Europa league Manchester United,0.0,0.0,neutral
10," Fabrizio Romano 

Man United still insist that Cristiano Ronaldo is not for sale.",Fabrizio Romano Man United still insist Cristiano Ronaldo sale.,0.0,0.0,neutral
